latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
20.96792,85.12007,304.1,0.35,0.56,2017-12-01,2035,N,VIIRS,n,1,289.3,1.1,
20.96218,85.17117,319.8,0.35,0.57,2017-12-01,2035,N,VIIRS,n,1,291,3.3,
20.95926,85.18452,321.5,0.35,0.57,2017-12-01,2035,N,VIIRS,n,1,291.6,3,
20.96,85.18114,330.6,0.35,0.57,2017-12-01,2035,N,VIIRS,n,1,292.7,4.3,
20.96073,85.17781,335.5,0.35,0.57,2017-12-01,2035,N,VIIRS,n,1,293.7,4.3,
20.96145,85.17448,334.3,0.35,0.57,2017-12-01,2035,N,VIIRS,n,1,292.6,3.3,
20.96367,85.18922,318.4,0.35,0.57,2017-12-01,2035,N,VIIRS,n,1,292,3,
20.9629,85.19272,323.4,0.35,0.57,2017-12-01,2035,N,VIIRS,n,1,291.6,2.9,
20.96809,85.19385,303.9,0.35,0.57,2017-12-01,2035,N,VIIRS,n,1,288.7,0.6,
21.80624,81.13624,295,0.57,0.43,2017-12-01,2035,N,VIIRS,n,1,278.9,0.6,
21.67129,82.0815,310.2,0.44,0.46,2017-12-01,2035,N,VIIRS,n,1,288.4,1.5,
21.07676,85.03967,322.5,0.34,0.56,2017-12-01,2035,N,VIIRS,n,1,289.9,1.9,
21.73166,82.21638,299,0.44,0.46,2017-12-01,2035,N,VIIRS,n,1,287.4,0.9,
20.94351,86.05709,310.9,0.4,0.6,2017-12-01,2035,N,VIIRS,n,1,290.6,2,
20.96442,86.01396,307.8,0.39,0.6,2017-12-01,2035,N,VIIRS,n,1,287.3,1.6,
20.96525,86.01016,309.3,0.39,0.6,2017-12-01,2035,N,VIIRS,n,1,287.6,1.6,
20.96608,86.00639,300.9,0.39,0.6,2017-12-01,2035,N,VIIRS,n,1,287.8,1.3,
20.9723,86.00404,307.5,0.39,0.6,2017-12-01,2035,N,VIIRS,n,1,292.8,1.3,
20.96982,86.01543,322.1,0.39,0.6,2017-12-01,2035,N,VIIRS,n,1,290.5,1.6,
22.11521,80.91202,313.6,0.55,0.43,2017-12-01,2035,N,VIIRS,n,1,280.1,1.6,
22.1181,80.91819,306,0.55,0.43,2017-12-01,2035,N,VIIRS,n,1,279.1,1.7,
22.11909,80.91285,305.9,0.55,0.43,2017-12-01,2035,N,VIIRS,n,1,278.5,1.6,
21.74626,83.82011,296.8,0.55,0.51,2017-12-01,2035,N,VIIRS,n,1,282.3,0.8,
21.75583,83.84507,306.4,0.56,0.51,2017-12-01,2035,N,VIIRS,n,1,285.4,2.7,
21.75831,83.8569,298,0.56,0.51,2017-12-01,2035,N,VIIRS,n,1,283.6,1.4,
21.7605,83.8462,300.9,0.56,0.51,2017-12-01,2035,N,VIIRS,n,1,285.7,1.4,
22.00552,82.66997,311.9,0.47,0.47,2017-12-01,2035,N,VIIRS,n,1,289.1,1.6,
21.75333,84.02632,297,0.57,0.52,2017-12-01,2035,N,VIIRS,n,1,284.3,2.2,
21.75916,84.022,313,0.57,0.52,2017-12-01,2035,N,VIIRS,n,1,285.3,2.2,
21.75859,84.02273,313.6,0.57,0.52,2017-12-01,2034,N,VIIRS,n,1,285.8,3.3,
21.76446,84.01839,302.7,0.57,0.52,2017-12-01,2034,N,VIIRS,n,1,285,2.7,
21.79754,83.88417,296.7,0.56,0.51,2017-12-01,2034,N,VIIRS,n,1,286.3,1,
21.80222,83.88527,303.3,0.56,0.51,2017-12-01,2034,N,VIIRS,n,1,286.5,1.1,
21.87983,83.55772,296.5,0.53,0.5,2017-12-01,2034,N,VIIRS,n,1,283.9,0.5,
21.92511,83.33701,303.7,0.51,0.5,2017-12-01,2034,N,VIIRS,n,1,287.4,3.6,
21.92208,83.35181,322.3,0.51,0.5,2017-12-01,2034,N,VIIRS,n,1,294.7,4.9,
22.93859,78.02333,302.2,0.41,0.37,2017-12-01,2034,N,VIIRS,n,1,284.9,1,
22.93468,78.06735,307.2,0.41,0.37,2017-12-01,2034,N,VIIRS,n,1,283.8,0.8,
21.98387,83.23291,297.8,0.5,0.49,2017-12-01,2034,N,VIIRS,n,1,287.8,1,
22.94145,78.0687,295.4,0.41,0.37,2017-12-01,2034,N,VIIRS,n,1,284.1,0.4,
22.96095,78.03587,297.8,0.41,0.37,2017-12-01,2034,N,VIIRS,n,1,284.7,0.3,
22.96434,78.03649,297.5,0.41,0.37,2017-12-01,2034,N,VIIRS,n,1,286.5,0.5,
22.02131,83.37807,300.9,0.51,0.5,2017-12-01,2034,N,VIIRS,n,1,286.8,0.9,
22.05896,83.72285,329.1,0.54,0.51,2017-12-01,2034,N,VIIRS,n,1,288.8,4.4,
22.06358,83.72388,319.9,0.54,0.51,2017-12-01,2034,N,VIIRS,n,1,288,1.9,
22.3231,82.53348,299.7,0.45,0.47,2017-12-01,2034,N,VIIRS,n,1,287.9,0.5,
22.33147,82.60406,313.7,0.46,0.47,2017-12-01,2034,N,VIIRS,n,1,291,2.3,
22.33231,82.62255,298.8,0.46,0.47,2017-12-01,2034,N,VIIRS,n,1,286.2,0.6,
22.33575,82.60503,321.6,0.46,0.47,2017-12-01,2034,N,VIIRS,n,1,289.5,2.1,
22.33658,82.62358,297.3,0.46,0.47,2017-12-01,2034,N,VIIRS,n,1,287,0.6,
22.32528,82.6811,322,0.46,0.47,2017-12-01,2034,N,VIIRS,n,1,288.1,3.1,
22.32867,82.68669,304.4,0.46,0.47,2017-12-01,2034,N,VIIRS,n,1,287.5,1.7,
22.33392,82.65995,299.3,0.46,0.47,2017-12-01,2034,N,VIIRS,n,1,287.2,0.9,
21.77198,85.55419,295.3,0.36,0.57,2017-12-01,2034,N,VIIRS,n,1,284.1,0.4,
21.92984,85.22335,297,0.34,0.56,2017-12-01,2034,N,VIIRS,n,1,283.9,0.6,
21.93055,85.22,304.3,0.34,0.56,2017-12-01,2034,N,VIIRS,n,1,283.2,0.6,
21.93242,85.22002,303.4,0.34,0.56,2017-12-01,2034,N,VIIRS,n,1,284.1,1,
21.97049,85.31565,303.5,0.34,0.56,2017-12-01,2034,N,VIIRS,n,1,284.8,1,
24.90701,66.97589,302.9,0.35,0.57,2017-12-01,2034,N,VIIRS,n,1,289.6,0.5,
22.20623,84.84665,299.4,0.63,0.54,2017-12-01,2034,N,VIIRS,n,1,285.1,1.6,
22.21287,84.86294,304.8,0.63,0.54,2017-12-01,2034,N,VIIRS,n,1,287.7,2.8,
24.90954,67.47189,301.7,0.33,0.55,2017-12-01,2034,N,VIIRS,n,1,288.8,0.5,
22.13382,85.41856,296.8,0.34,0.56,2017-12-01,2034,N,VIIRS,n,1,283.1,0.7,
25.13989,66.91621,309.7,0.36,0.57,2017-12-01,2034,N,VIIRS,n,1,290.9,0.8,
25.1514,67.70361,301.9,0.32,0.55,2017-12-01,2034,N,VIIRS,n,1,288.3,0.6,
23.16829,82.3381,295.1,0.42,0.46,2017-12-01,2034,N,VIIRS,n,1,284.6,1.4,
22.05193,88.10695,304.7,0.5,0.66,2017-12-01,2034,N,VIIRS,n,1,290.2,1.1,
22.05337,88.12823,316.1,0.51,0.66,2017-12-01,2034,N,VIIRS,n,1,292.8,3.8,
22.05451,88.1233,313.2,0.51,0.66,2017-12-01,2034,N,VIIRS,n,1,292.3,3.6,
24.57974,74.80505,299.5,0.41,0.37,2017-12-01,2034,N,VIIRS,n,1,285,0.5,
22.05389,88.12993,302.7,0.51,0.66,2017-12-01,2034,N,VIIRS,n,1,290,1.8,
22.05507,88.125,323.2,0.51,0.66,2017-12-01,2034,N,VIIRS,n,1,294.1,1.8,
24.64233,74.68428,297.1,0.41,0.37,2017-12-01,2034,N,VIIRS,n,1,284.5,0.5,
25.3893,68.5817,323.9,0.57,0.52,2017-12-01,2034,N,VIIRS,n,1,285.6,2.4,
